                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7336,                 4.8806,                  3.638,                 3.9882,                0.15599,                0.12614,                0.13406,                0.05297,                0.15971,                0.11849,                0.12759,                0.04518,                 2.4313,                 3.9529,                 2.1104,                 3.0064,              0.0033244,              0.0033244,              0.0033244
                      2,                 1.9141,                 3.3337,                 1.7071,                 2.4009,                0.71307,                0.20167,                0.22455,                0.14876,                0.71176,                0.19993,                 0.2177,                0.13165,                  1.258,                 2.6475,                 1.1674,                 1.7627,               0.006605,               0.006605,               0.006605
                      3,                 1.3835,                 2.7122,                 1.1783,                 1.7501,                0.48965,                0.24878,                0.24987,                0.17682,                0.51922,                0.24375,                0.24063,                0.15752,                 1.0375,                 2.1347,                0.88631,                 1.4823,              0.0098328,              0.0098328,              0.0098328
                      4,                 1.1665,                 2.3017,                0.96731,                 1.5013,                0.49529,                0.30728,                0.30085,                0.21569,                0.47346,                0.30303,                0.28701,                0.18891,                0.89905,                   1.82,                0.70537,                  1.322,              0.0097624,              0.0097624,              0.0097624
                      5,                 1.0388,                 2.0305,                0.83517,                 1.3855,                0.48482,                0.32444,                0.31458,                0.22179,                0.46454,                 0.3212,                0.29972,                0.19892,                0.81705,                 1.6771,                0.65057,                 1.2583,              0.0097624,              0.0097624,              0.0097624
                      6,                0.96769,                 1.8663,                0.77655,                 1.3184,                 0.4075,                0.35403,                0.32789,                0.23694,                0.33417,                0.35109,                0.31008,                0.21108,                0.80613,                 1.6013,                 0.6124,                 1.2341,              0.0096832,              0.0096832,              0.0096832
                      7,                0.92512,                 1.7916,                0.73626,                 1.2884,                 0.4605,                0.35543,                0.36066,                0.25093,                0.42608,                0.34175,                0.32999,                0.22388,                0.75946,                 1.5372,                0.62829,                 1.1972,               0.009604,               0.009604,               0.009604
                      8,                0.89716,                 1.7136,                0.68858,                 1.2565,                0.42225,                0.39745,                0.36008,                0.24955,                0.40802,                0.38317,                0.34257,                0.23369,                0.74891,                 1.4739,                0.57688,                 1.1825,              0.0095248,              0.0095248,              0.0095248
                      9,                0.86502,                 1.6412,                0.66144,                 1.2346,                0.50166,                0.38902,                0.38317,                0.25987,                0.48136,                0.37182,                0.36152,                0.24121,                0.75699,                 1.4396,                0.55498,                 1.1833,              0.0094456,              0.0094456,              0.0094456
                     10,                0.85371,                 1.6302,                0.65374,                 1.2188,                0.39324,                0.40733,                0.37936,                 0.2668,                0.41342,                0.45215,                0.37213,                0.24693,                0.72212,                 1.4169,                0.53223,                 1.1563,              0.0093664,              0.0093664,              0.0093664
                     11,                0.82648,                 1.5603,                0.63069,                  1.207,                0.56967,                0.40463,                0.42345,                0.28535,                0.52885,                0.39596,                0.39918,                0.26027,                0.71284,                 1.3656,                0.52653,                  1.146,              0.0092872,              0.0092872,              0.0092872
                     12,                 0.8147,                 1.5234,                0.60613,                 1.1896,                0.48697,                0.40947,                0.37636,                0.26826,                 0.5905,                0.41382,                 0.3759,                0.24787,                0.69874,                 1.3817,                 0.5161,                  1.137,               0.009208,               0.009208,               0.009208
                     13,                0.79888,                 1.4979,                0.58876,                  1.169,                0.39803,                0.44503,                0.39439,                 0.2725,                0.60965,                0.40392,                0.38517,                0.25642,                0.69241,                 1.3553,                0.49972,                 1.1326,              0.0091288,              0.0091288,              0.0091288
                     14,                0.79309,                 1.4881,                0.58384,                 1.1649,                0.44846,                 0.4607,                0.41183,                0.28832,                0.39872,                 0.4377,                0.38533,                0.26029,                 0.6879,                 1.3428,                0.50662,                  1.125,              0.0090496,              0.0090496,              0.0090496
                     15,                0.77767,                 1.4679,                0.57698,                 1.1572,                0.45027,                0.47847,                0.41765,                0.28578,                0.42611,                0.46111,                0.39643,                0.26301,                0.69017,                 1.3138,                0.51267,                 1.1261,              0.0089704,              0.0089704,              0.0089704
                     16,                0.77476,                 1.4452,                0.56722,                 1.1528,                0.60448,                0.40256,                0.42215,                0.28744,                 0.4233,                0.45674,                0.40116,                0.26582,                0.68217,                 1.3096,                0.49322,                 1.1113,              0.0088912,              0.0088912,              0.0088912
                     17,                0.76691,                 1.4366,                 0.5555,                 1.1442,                0.58828,                0.43032,                0.45002,                0.30601,                 0.5734,                0.40094,                0.41955,                0.27933,                  0.673,                 1.3071,                0.48594,                  1.113,               0.008812,               0.008812,               0.008812
                     18,                0.76026,                 1.4246,                0.55223,                  1.141,                0.55278,                0.45892,                0.44594,                0.30338,                0.52194,                0.44025,                0.42755,                 0.2762,                0.66845,                 1.2924,                0.47878,                 1.1089,              0.0087328,              0.0087328,              0.0087328
                     19,                0.74696,                 1.3745,                0.53997,                 1.1301,                0.55603,                0.47136,                0.46914,                0.31538,                0.65424,                0.42101,                0.43884,                0.28243,                0.67113,                 1.2587,                0.48194,                 1.1114,              0.0086536,              0.0086536,              0.0086536
                     20,                0.74458,                 1.3838,                0.53284,                 1.1266,                0.51483,                0.50636,                0.45549,                0.31008,                0.50683,                0.49646,                 0.4362,                0.28235,                0.66225,                 1.2613,                0.47718,                 1.0989,              0.0085744,              0.0085744,              0.0085744
                     21,                0.73301,                 1.3401,                0.51749,                 1.1197,                0.47441,                0.46703,                0.44905,                0.31042,                0.44391,                0.43927,                 0.4287,                0.27954,                0.65121,                 1.2449,                0.46889,                 1.0912,              0.0084952,              0.0084952,              0.0084952
                     22,                0.73742,                 1.3617,                0.52848,                 1.1182,                  0.517,                0.53993,                0.49204,                0.33432,                0.49448,                0.52015,                0.47065,                0.30923,                 0.6582,                  1.236,                0.46966,                 1.0968,               0.008416,               0.008416,               0.008416
                     23,                0.72651,                 1.3343,                0.51569,                  1.113,                0.49866,                0.52723,                0.47195,                0.32113,                0.54044,                0.51843,                0.45245,                0.29221,                0.65693,                 1.2526,                0.47202,                 1.0976,              0.0083368,              0.0083368,              0.0083368
                     24,                0.71833,                 1.3091,                0.49931,                 1.1077,                0.63161,                0.45351,                 0.4727,                0.31247,                0.65086,                0.46359,                0.47818,                 0.2861,                0.65525,                  1.229,                0.46228,                 1.0936,              0.0082576,              0.0082576,              0.0082576
                     25,                0.70749,                 1.3102,                0.49614,                 1.0993,                0.45754,                0.53146,                 0.4581,                0.31605,                0.43528,                0.50915,                0.43319,                0.28186,                0.65475,                 1.2388,                0.46962,                 1.0977,              0.0081784,              0.0081784,              0.0081784
                     26,                0.71266,                 1.2972,                0.49388,                 1.0982,                0.55222,                0.49154,                0.48039,                0.32723,                0.53056,                0.46513,                0.43871,                0.28876,                0.64847,                  1.236,                0.45279,                 1.0949,              0.0080992,              0.0080992,              0.0080992
                     27,                0.71026,                 1.2969,                0.49083,                 1.1012,                0.58657,                0.45413,                0.46286,                 0.3141,                0.57782,                0.43072,                0.43426,                0.28602,                0.64607,                 1.2318,                0.44959,                 1.0934,                0.00802,                0.00802,                0.00802
                     28,                0.70591,                 1.2793,                0.49052,                 1.0967,                 0.5861,                0.49232,                0.49191,                0.32808,                0.56823,                0.47399,                0.46451,                0.29375,                0.64709,                 1.2402,                0.45237,                 1.0933,              0.0079408,              0.0079408,              0.0079408
                     29,                0.69606,                 1.2613,                0.48289,                 1.0979,                0.52987,                0.45305,                0.45322,                0.31644,                0.54116,                0.41713,                 0.4198,                0.27647,                0.64772,                 1.2287,                0.45883,                 1.0887,              0.0078616,              0.0078616,              0.0078616
                     30,                0.68584,                  1.223,                0.47104,                 1.0791,                0.59317,                0.48004,                0.49509,                 0.3311,                0.71491,                 0.4279,                0.45876,                 0.2974,                0.63802,                 1.2343,                0.44696,                 1.0857,              0.0077824,              0.0077824,              0.0077824
                     31,                0.69226,                 1.2446,                 0.4745,                  1.087,                0.53765,                0.53085,                0.49139,                0.33324,                0.51852,                0.51006,                  0.463,                0.30094,                0.63688,                 1.2153,                0.43986,                 1.0804,              0.0077032,              0.0077032,              0.0077032
                     32,                0.67984,                 1.2398,                 0.4703,                 1.0753,                0.46279,                0.56119,                0.46841,                0.32279,                0.45283,                0.52724,                0.46034,                0.29058,                0.65192,                 1.2245,                0.45271,                 1.0963,               0.007624,               0.007624,               0.007624
                     33,                0.68061,                 1.2271,                0.46678,                 1.0772,                  0.575,                0.48167,                0.49623,                0.33668,                0.54569,                 0.4634,                0.46154,                0.30431,                 0.6471,                 1.2317,                 0.4484,                 1.0934,              0.0075448,              0.0075448,              0.0075448
